ID-SpeciesName,SPGroup,HW,HL,SL,ML,WL,PrW,HFL,PtW,PtL,Ppw,PpL,GW
04tarsata,gulosa,65,64,73,64,-,46,-,25,40,36,30,67
05tarsata,gulosa,51,53,57,52,-,34,82,19,32,29,25,52
06tarsata,gulosa,90,83,-,-,-,-,-,32,50,47,37,85
01vindex,gulosa,75,76,98,86,-,49,-,26,54,39,31,80
02vindex,gulosa,77,78,99,86,-,49,-,24,53,36,31,74
01basirufa,gulosa,77,80,99,83,-,45,-,27,53,38,32,75
01simillima,gulosa,83,81,89,91,-,50,-,25,46,40,34,73
02simillima,gulosa,85,82,87,90,-,51,-,27,46,40,32,78
03simillima,gulosa,50,51,55,49,94,32,82,16,27,24,22,51
01analis,gulosa,63,62,73,70,-,42,-,22,38,31,27,65
02analis,gulosa,63,65,75,63,-,42,-,20,38,32,25,66
03analis,gulosa,61,60,74,68,-,41,-,20,36,29,26,61
04analis,gulosa,67,65,75,75,-,43,-,22,42,31,30,65
05analis,gulosa,63,64,77,71,-,41,-,22,39,31,27,65
06analis,gulosa,65,66,78,73,-,42,-,23,39,31,30,64
01gilberti,mandibularis,54,50,41,50,89,39,62,25,30,38,25,50
02giIberti,mandibularis,52,49,40,49,85,38,55,23,27,35,25,48
01luteiforceps,mandibularis,49,45,38,50,85,35,55,20,25,34,22,45
02luteiforceps,mandibularis,50,46,38,52,82,36,54,22,27,34,22,45
01potteri,mandibularis,51,48,40,47,83,39,60,22,25,34,22,47
02potteri,mandibularis,51,48,39,46,85,38,59,23,27,36,23,47
01pilventris,mandibularis,59,54,49,55,95,41,66,25,30,42,30,55
02pilventris,mandibularis,64,58,50,59,-,48,73,28,34,47,34,61
03pilventris,mandibularis,42,39,33,40,56,30,45,19,21,28,21,40
01fulviculis,mandibularis,48,48,40,50,78,36,55,22,28,34,28,41
02fulviculis,mandibularis,50,48,40,50,80,37,57,24,30,35,28,45
01fulvipes,mandibularis,57,49,43,53,88,42,62,25,28,39,30,52
02fulvipes,mandibularis,58,50,44,56,89,-,62,25,27,39,30,53
01mandibularis,mandibularis,63,56,51,62,97,45,73,28,34,43,33,58
02maudibularis,mandibularis,57,50,45,59,92,42,64,23,29,38,30,50
03mandibularis,mandibularis,50,45,40,54,78,35,55,18,25,32,25,45
04mandibularis,mandibularis,61,54,50,63,94,44,69,25,31,40,30,53
01ﬂammicollis,nigrocincta,46,49,55,53,94,30,64,15,33,22,20,43
02ﬂammicollis,nigrocincta,55,56,65,59,-,35,93,19,37,27,25,50
01nigrocincta,nigrocincta,45,48,54,51,93,32,80,14,28,24,22,41
02nigrocincta,nigrocincta,54,55,60,57,-,37,92,19,32,31,26,50
03nigrocincta,nigrocincta,43,46,51,47,90,28,80,15,27,23,20,38
01petiolata,nigrocincta,44,45,-,49,85,30,-,15,26,23,20,40
02petiolata,nigrocincta,42,45,50,49,87,30,-,14,27,22,19,40
03petiolata,nigrocincta,45,45,50,49,-,30,72,-,-,21,-,40
04petiolata,nigrocincta,41,43,47,47,-,29,70,13,23,20,17,37
01fucosa,picta,42,45,34,41,69,27,54,18,25,25,18,40
02fucosa,picta,45,45,36,43,73,30,56,19,26,27,23,45
01picta,picta,44,47,37,43,78,30,59,18,22,28,20,43
02picta,picta,43,45,36,40,74,30,57,20,25,29,22,45
03picta,picta,45,47,36,42,75,32,50,20,-,30,-,44
04picta,picta,38,40,33,38,-,25,51,16,23,25,19,38
01apicalis,pilosula,44,44,45,43,83,32,62,15,23,27,17,43
01celaena,pilosula,42,39,35,40,64,29,53,16,19,26,18,38
01chasei,pilosula,60,51,50,52,96,45,81,27,30,45,28,67
02chasei,pilosula,51,46,48,50,85,38,74,20,25,32,20,49
01ludlowi,pilosula,64,58,50,55,96,48,80,29,28,47,30,66
02ludlowi,pilosula,49,46,45,47,84,37,70,22,23,34,23,50
03ludlowi,pilosula,57,51,50,52,92,40,75,25,28,40,26,58
01chrysogaster,pilosula,44,42,32,39,75,33,48,18,20,30,20,43
01cydista,pilosula,43,41,36,39,70,31,-,19,22,30,18,43
01dispar,pilosula,49,46,43,48,72,33,57,19,23,29,19,45
02dispar,pilosula,49,48,44,43,75,32,58,20,24,30,20,45
03dispar,pilosula,43,43,42,44,71,29,-,18,21,26,18,41
01elegans,pilosula,51,51,45,55,87,37,65,23,25,35,24,50
02elegans,pilosula,44,43,40,50,74,30,59,20,21,29,20,42
03elegans,pilosula,42,43,40,48,72,30,56,19,20,28,20,40
01harderi,pilosula,46,44,38,44,75,34,59,20,24,33,22,47
02harderi,pilosula,54,50,42,47,84,37,62,24,26,37,23,51
03harderi,pilosula,47,45,38,42,73,33,-,19,23,32,22,47
01michaelseni,pilosula,52,49,40,49,86,38,61,20,25,39,25,54
02michaelseni,pilosula,49,45,38,47,82,37,55,19,25,34,26,47
03michaelseni,pilosula,50,45,-,-,-,35,-,19,26,35,24,47
04michaelseni,pilosula,55,50,43,50,88,41,63,22,27,40,28,55
01occidentalis,pilosula,48,45,44,45,78,32,59,20,25,30,21,45
02occidentalis,pilosula,49,45,43,44,80,35,56,20,26,30,23,45
03occidentalis,pilosula,46,45,40,43,75,33,57,-,-,30,-,47
04occidentalis,pilosula,47,-,45,-,-,-,-,-,-,31,-,48
05occidentalis,pilosula,47,46,-,-,-,-,-,19,-,30,-,46
01opaca,pilosula,44,42,40,42,72,31,53,18,21,28,20,42
01rugosa,pilosula,55,50,45,49,90,40,55,25,27,42,28,55
02rugosa,pilosula,50,48,40,46,82,38,60,22,25,38,25,50
03rugosa,pilosula,43,40,35,40,73,34,50,18,22,31,21,43
01varians,pilosula,42,40,38,46,72,30,57,17,23,25,20,39
02varians,pilosula,48,47,41,49,78,34,62,21,26,30,25,44
03varians,pilosula,43,43,38,45,75,30,57,18,24,27,23,40
04varians,pilosula,47,46,40,47,79,31,62,18,25,27,23,43
05varians,pilosula,45,45,39,48,80,32,60,19,25,30,24,44
06varians,pilosula,47,46,40,48,78,33,61,19,27,30,25,45
01pilosula,pilosula,-,-,-,-,79,35,60,20,25,30,21,46
02pilosula,pilosula,37,37,38,40,69,27,50,15,20,24,18,37
03pilosula,pilosula,48,44,42,45,80,35,57,20,25,30,24,49
04pilosula,pilosula,56,55,48,53,89,40,69,23,27,35,27,55
05pilosula,pilosula,58,55,49,55,92,42,70,23,30,36,26,56
01clarki,tepperi,44,43,40,49,72,30,51,20,21,29,20,40
02clarki,tepperi,49,47,43,52,78,34,55,23,25,34,23,49
01dixoni,tepperi,42,40,31,42,65,30,-,19,20,29,18,41
02dixoni,tepperi,46,41,34,42,70,33,43,22,23,30,21,44
03dixoni,tepperi,40,38,30,40,59,28,40,17,18,26,16,37
01swalei,tepperi,38,35,30,40,56,25,36,15,18,23,18,35
02swalei,tepperi,48,44,35,45,72,33,47,22,24,31,23,45
03swalei,tepperi,40,38,32,40,61,29,40,19,20,28,22,39
04swalei,tepperi,45,42,35,45,-,32,-,20,22,31,20,43
05swalei,tepperi,37,34,28,37,55,26,36,15,17,24,16,34
06swalei,tepperi,51,49,40,49,83,40,58,24,25,38,26,52
01tepperi,tepperi,42,40,36,46,65,29,47,15,21,25,20,37
02tepperi,tepperi,-,-,-,-,-,35,-,22,25,32,25,47
03tepperi,tepperi,50,49,46,50,82,35,60,22,25,35,24,48
04tepperi,tepperi,53,50,45,52,82,36,60,23,25,35,25,50
01testaceipes,tepperi,43,40,32,43,65,30,42,19,21,29,20,40
02testaceipes,tepperi,44,40,34,43,65,30,44,19,21,30,20,42
03testaceipes,tepperi,38,35,30,40,58,27,39,15,18,25,18,36
01dichospila,urens,34,33,23,26,62,25,39,15,18,24,15,34
02dichospila,urens,30,30,24,28,53,20,39,12,16,18,15,27
03dichospila,urens,26,27,21,25,48,18,34,10,14,15,13,24
01exigua,urens,23,24,19,23,41,15,29,10,14,16,10,22
01rubicunda,urens,25,23,19,24,41,15,29,10,14,17,10,25
01infima,urens,30,32,25,27,55,20,43,11,16,22,16,30
02infima,urens,30,33,25,28,54,20,43,11,17,22,15,29
03infima,urens,32,33,25,30,59,23,-,13,15,23,15,34
04infima,urens,34,35,26,31,65,24,-,17,20,28,20,38
05infima,urens,20,25,19,21,44,17,-,9,15,15,13,25
06infima,urens,25,25,19,24,-,-,-,-,-,17,-,25
